,Date,Open,High,Low,Close,Adj Close,Volume,Average,Ticker
0,2014-06-16,64.204285,64.21285999999999,62.139998999999996,62.882858,62.882858,30530500,63.1764295,original/NFLX
1,2014-06-23,62.765713,64.27714499999999,61.904284999999994,63.154284999999994,63.154284999999994,76617100,63.09071499999999,original/NFLX
2,2014-06-30,63.265713,67.98143,62.812858999999996,67.478569,67.478569,77253400,65.3971445,original/NFLX
3,2014-07-07,67.442856,67.461426,61.171429,62.851429,62.851429,104098400,64.3164275,original/NFLX
4,2014-07-14,63.328571,65.099998,62.25,63.452858,63.452858,69405000,63.674999,original/NFLX
5,2014-07-21,64.52714499999999,65.35714,59.860001000000004,60.265713,60.265713,139344800,62.6085705,original/NFLX
6,2014-07-28,60.315716,62.184284,58.93,60.771427,60.771427,69274100,60.557142,original/NFLX
7,2014-08-04,61.028572,64.424286,60.044284999999995,63.692856000000006,63.692856000000006,79984100,62.2342855,original/NFLX
8,2014-08-11,64.174286,66.0,63.344283999999995,65.584282,65.584282,61863200,64.672142,original/NFLX
9,2014-08-18,66.00856800000001,68.507141,65.89286,68.455711,68.455711,62039600,67.2000005,original/NFLX
10,2014-08-25,68.792854,69.328575,67.25856800000001,68.23428299999999,68.23428299999999,51439500,68.29357150000001,original/NFLX
11,2014-09-01,68.35714,69.657143,67.152855,67.954285,67.954285,48937700,68.404999,original/NFLX
12,2014-09-08,67.771431,69.898575,67.742859,68.078575,68.078575,57801800,68.820717,original/NFLX
13,2014-09-15,68.220001,68.220001,63.657143000000005,65.360001,65.360001,82180000,65.938572,original/NFLX
14,2014-09-22,65.181427,65.278572,62.697143999999994,64.10714,64.10714,57437100,63.987857999999996,original/NFLX
15,2014-09-29,63.438572,65.800003,62.470001,65.648575,65.648575,71145900,64.135002,original/NFLX
16,2014-10-06,66.0,66.855713,64.482857,64.58285500000001,64.58285500000001,75840100,65.669285,original/NFLX
17,2014-10-13,64.464287,64.638573,47.285713,51.012856,51.012856,268357600,55.962143,original/NFLX
18,2014-10-20,50.857143,55.285713,50.777142,55.00285699999999,55.00285699999999,119618800,53.0314275,original/NFLX
19,2014-10-27,54.842856999999995,56.25285699999999,53.514286,56.110001000000004,56.110001000000004,70252700,54.883571499999995,original/NFLX
20,2014-11-03,56.175713,56.50285699999999,53.77,54.880001,54.880001,61912200,55.136428499999994,original/NFLX
21,2014-11-10,54.714287,56.299999,53.862857999999996,55.148571,55.148571,56987000,55.0814285,original/NFLX
22,2014-11-17,55.054287,55.64285699999999,51.357143,51.468571000000004,51.468571000000004,74965100,53.5,original/NFLX
23,2014-11-24,51.508571999999994,51.922855,49.142857,49.512856,49.512856,62730500,50.532855999999995,original/NFLX
24,2014-12-01,49.285713,51.135715000000005,48.234287,50.131428,50.131428,61839400,49.685001,original/NFLX
25,2014-12-08,49.881428,49.982857,46.98,47.782856,47.782856,69533100,48.4814285,original/NFLX
26,2014-12-15,48.055714,48.92857,45.077145,48.588570000000004,48.588570000000004,79846900,47.002857500000005,original/NFLX
27,2014-12-22,48.542858,49.484287,47.472858,48.578571000000004,48.578571000000004,30543800,48.4785725,original/NFLX
28,2014-12-29,47.970001,50.331429,47.652859,49.848572,49.848572,18757000,48.992143999999996,original/NFLX
29,2015-01-05,49.258571999999994,49.258571999999994,45.661429999999996,47.041428,47.041428,9032700,47.46000099999999,original/NFLX
30,2015-01-12,47.09,48.25,45.264286,48.191429,48.191429,11842800,46.757143,original/NFLX
31,2015-01-19,48.57143,62.742858999999996,47.714287,62.494285999999995,62.494285999999995,23060500,55.228573,original/NFLX
32,2015-01-26,62.57143000000001,65.339996,61.957142000000005,63.114284999999995,63.114284999999995,14108200,63.648569,original/NFLX
33,2015-02-02,62.842856999999995,65.46714,61.955715000000005,63.48,63.48,9282000,63.7114275,original/NFLX
34,2015-02-09,63.19857,66.629997,62.637142000000004,66.585716,66.585716,8425500,64.63356950000001,original/NFLX
35,2015-02-16,66.51571700000001,68.714287,65.944283,68.314285,68.314285,14845700,67.329285,original/NFLX
36,2015-02-23,68.300003,69.5,67.14286,67.844284,67.844284,6331300,68.32142999999999,original/NFLX
37,2015-03-02,67.714287,68.60714,64.844284,64.87428299999999,64.87428299999999,8450300,66.725712,original/NFLX
38,2015-03-09,64.989998,65.092857,61.982856999999996,62.628570999999994,62.628570999999994,11150400,63.537856999999995,original/NFLX
39,2015-03-16,61.547142,61.785713,59.299999,61.185715,61.185715,12131700,60.542856,original/NFLX
40,2015-03-23,60.889998999999996,63.098572,58.57285699999999,59.25285699999999,59.25285699999999,11150200,60.835714499999995,original/NFLX
41,2015-03-30,59.715714,60.564285,58.702858,59.154284999999994,59.154284999999994,7427900,59.6335715,original/NFLX
42,2015-04-06,58.76857,64.995712,58.464287,64.938568,64.938568,11265400,61.7299995,original/NFLX
43,2015-04-13,67.239998,82.14286,67.057144,81.650002,81.650002,76210600,74.60000199999999,original/NFLX
44,2015-04-20,81.785713,82.304283,78.955711,79.771431,79.771431,25432100,80.629997,original/NFLX
45,2015-04-27,80.292854,81.785713,78.894287,79.575714,79.575714,7582700,80.34,original/NFLX
46,2015-05-04,79.571426,82.442856,78.900002,82.085716,82.085716,10091100,80.671429,original/NFLX
47,2015-05-11,82.324287,88.34857199999999,82.185715,87.60714,87.60714,13271000,85.2671435,original/NFLX
48,2015-05-18,87.544289,89.785713,87.024284,88.83856999999999,88.83856999999999,9553400,88.4049985,original/NFLX
49,2015-05-25,88.87428299999999,90.205711,87.785713,89.15142800000001,89.15142800000001,5765300,88.995712,original/NFLX
50,2015-06-01,88.83714300000001,90.540001,87.944283,90.459999,90.459999,6482100,89.242142,original/NFLX
51,2015-06-08,90.714287,98.970001,88.995712,94.418571,94.418571,18169300,93.9828565,original/NFLX
52,2015-06-15,92.85714,96.418571,91.658569,93.871429,93.871429,10540000,94.03856999999999,original/NFLX
53,2015-06-22,95.042854,100.891426,93.08856999999999,93.08856999999999,93.08856999999999,25919400,96.98999799999999,original/NFLX
54,2015-06-29,91.505714,95.238571,91.117142,94.044289,94.044289,9601200,93.17785649999999,original/NFLX
55,2015-07-06,93.47285500000001,98.502853,92.284286,97.228569,97.228569,12105700,95.3935695,original/NFLX
